Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude
3-Apr-15,Children's Heart Center,,Nevada,DISC,MED,"8,791","An employee was arrested on-site for suspicion of identity theft after using electronic protected health information (ePHI) obtained while employed by the covered entity (CE) to open a credit card account in another individual’s name.  The employee had a criminal history which was not identified during the CE’s hiring process.  The CE provided breach notification to HHS, affect individuals, and the media.  It also cooperated with the subsequent law enforcement investigation.  Following the breach, the CE sanctioned the employee and terminated and replaced its vendor for background checks of potential employees.  The CE also improved its physical security, enhanced technical safeguards for ePHI, formed a committee to formalize written policies for safeguarding ePHI, and enhanced staff training.  OCR obtained assurances that the CE implemented the corrective actions noted above.
Location of breached information: Electronic Medical Record
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,40.760537,-73.97889
17-Apr-15,Jersey City Medical Center,,New Jersey,DISC,MED,"1,447","Location of breached information: Email
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,40.760537,-73.97889
28-Apr-15,Bellevue Hospital Center,,New York,DISC,MED,"3,334","Location of breached information: Email
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,40.760537,-73.97889
28-Apr-15,Jacobi Medical Center,,New York,DISC,MED,"90,060","Location of breached information: Email
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,40.760537,-73.97889
19-May-15,Alexian Brothers Medical Center,,Illinois,DISC,MED,632,"On April 13, 2015, several files containing electronic protected health information (ePHI) were discovered on computers accessible to the public in the medical library at the covered entity (CE), Alexian Brothers Medical Center.  The files included the first and last names, medical record numbers, and medication information related to 618 patients, and other clinical information for 14 patients. Approximately 632 individuals were affected by this breach.  The CE provided breach notification to HHS, affected individuals, and the media. Following the breach the CE posted signs noting that the computers were “public computers” and not to save files on the device, secured computers so that no data could be saved onto the virtual desktop or the hard drive, and essentially rendered folders as “read only”.  The CE also implemented a process to track user access on all but one of the public computers.  The CE retrained workforce groups involved in the breach.  OCR obtained documented assurances that the CE implemented the corrective actions listed above.
Location of breached information: Desktop Computer
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,40.633125,-89.398528
21-May-15,Thomas H. Boyd Memorial Hospital,,Illinois,DISC,MED,"8,300","A facility where the covered entity (CE) had stored its medical records since 1994 was sold to a third party and possession of this property was given to the new owner for five days, unbeknownst to the CE.  The protected health information (PHI) involved in the breach included the clinical, demographic and financial information of 8,300 individuals.  Upon discovery of the breach, the CE immediately retrieved all records at the facility.  There was no evidence that the records were otherwise compromised.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE retrained employees on its revised policies and procedures, including the proper storage of PHI and distribution of its revised policies and procedures.  OCR obtained assurances that the CE implemented the corrective actions listed.  
Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,40.760537,-73.97889
1-Jun-15,Metropolitan Hospital Center,,New York,DISC,MED,"3,957","Location of breached information: Email
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,40.760537,-73.97889
4-Jun-15,Stanislaus Surgical Hospital,,California,PHYS,MED,"1,170","On April 4, 2015, two paper binders containing the protected health information (PHI) of up to 1,166 individuals were stolen from one of the covered entity’s (CE) facilities along with several other items that did not contain PHI.  The type of PHI involved in the breach was financial information.  The CE filed a formal police report and police identified two potential suspects.   The CE provided breach notification to HHS, affected individuals, and the media and offered credit monitoring to all individuals affected.  Following the breach, the CE improved physical security for the facility and the locked file cabinets that contain PHI and updated security procedures for employees’ access to the premises.  It also converted its payment system to a paperless, all electronic system and implemented an encryption requirement for all information that is stored on a shared drive.  The CE also trained all employees on the changes to its security policies and procedures.  OCR obtained assurances that the CE implemented the corrective actions listed.
Location of breached information: Desktop Computer, Other Portable Electronic Device, Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,40.760537,-73.97889
9-Jun-15,"Truman Medical Center, Incorporated",,Missouri,DISC,MED,503,"An employee of the covered entity (CE), Truman Medical Center, found a list of patients on the internet.  The list contained names, addresses, and internal identification numbers for 503 of the CE's patients.  The CE determined that the list was posted to a file transfer protocol (FTP) site by the public relations department and was a mailing list used to notify patients that a clinic was moving to a new location.  The list was available on the internet from September 2012 until March 2015.  The CE provided breach notification to HHS, affected individuals and the media, and provided substitute notice on its website.  Following the breach, the CE immediately removed and deleted the patient list from FTP site and reviewed the other information posted on the site.  The CE improved safeguards by enabling the public relations employees to send encrypted emails and providing instructions on how to use secure email.   The CE also required additional training for workforce members in the public relations department.  OCR obtained written assurances that the CE implemented the corrective actions listed above.
Location of breached information: Other
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,40.760537,-73.97889
26-Jun-15,"Meritus Medical Center, Inc.",,Maryland,DISC,MED,"1,029","The covered entity (CE), Meritus Medical Center, reported that an audit revealed that a vendors’s employee (from Walgreens pharmacy) accessed the protected health information (PHI) of approximately 1,029 patients without a business need to do so.  The types of PHI potentially accessed included demographic information such as names, dates of birth, medical record numbers and, in some instances health insurance information or Medicare identification numbers, as well as clinical information.  The CE confirmed that it terminated the employee’s access to the electronic health record (EHR) and escorted the employee from the Meritus campus. The CE provided breach notification to HHS, the media, and affected individuals and offered credit monitoring.  The CE implemented a new system for implementing technical measures so that the vendor’s employees’ access is limited to a separate system that interfaces with the EHR and pulls only limited patient information specifically related to those patients receiving Walgreens’ services.  OCR obtained assurances that the CE implemented the corrective actions listed.
Location of breached information: Electronic Medical Record
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,40.760537,-73.97889
8-Jul-15,Massachusetts General Hospital,,Massachusetts,DISC,MED,648,"An employee of the covered entity (CE), Massachusetts General Hospital, sent an unencrypted e-mail to the incorrect e-mail address.  The e-mail contained the protected health information (PHI of 648 individuals.  The types of PHI involved in the breach included names, dates of birth, medical record number sand social security numbers.  Following the breach, the CE sanctioned the employee in question and changed its policy to use a secure storage application instead of e-mail to send PHI.  OCR obtained assurances that the CE implemented the corrective actions listed above.
Location of breached information: Email
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,42.407211,-71.382437
22-Jul-15,Montefiore Medical Center ,,New York,PHYS,MED,"12,517","Location of breached information: Desktop Computer, Electronic Medical Record
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,40.760537,-73.97889
5-Aug-15,Lawrence General Hospital,,Massachusetts,PHYS,MED,"2,071","The covered entity (CE), Lawrence General Hospital, discovered that a portable computer drive (a ""thumb"" drive), which was not encrypted or password-protected, was missing following a theft in the laboratory. The protected health information involved included names, laboratory testing codes, and slide identification numbers, affecting 2,071 individuals. The CE provided breach notification to HHS, affected individuals, and the media. Following the breach, the CE eliminated the need to use a thumb drive in the pathology laboratory and accelerated the completion of reconfiguring all compatible computer ports (""USB"" ports) to disable the use of unencrypted thumb drives.  The CE also implemented new procedures to monitor the receipt of media and devices. OCR obtained assurances that the CE implemented the corrective actions listed above.
Location of breached information: Other Portable Electronic Device
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,42.407211,-71.382437
7-Aug-15,T.J. Samson Community Hospital,,Kentucky,DISC,MED,"2,060","The covered entity (CE), TJ Samson Community Hospital, discovered that on June 8, 2015, it had sent an advertisement email to 2,060 patients that inadvertently exposed the names and email addresses of the recipients.  The CE provided breach notification to HHS, affected individuals, and the media.  In response to the breach, the CE drafted a new policy which details the internal use of its patient portal to communicate with patients.  It also counseled its marketing staff on disseminating information.  OCR obtained assurances that the CE implemented the corrective actions listed above.
Location of breached information: Email
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,40.760537,-73.97889
26-Aug-15,Children's Hospital Medical Center of Akron,,Ohio,PHYS,MED,"7,664","The covered entity (CE) reported that a hard drive was missing that contained approximately 1,800 hours of voice recordings that were communications between dispatchers and medical staff prior to or during medical transport between September 18, 2014, and June 3, 2015.  The hard drive was not searchable without a separate application and many of the recordings did not contain protected health information  The hard drive was missing from the CE's locked, secure area.  The breach affected 7,664 individuals and included clinical and demographic information.  The CE provided breach notification to HHS, affected individuals, and the media.  Upon discovery of the breach, the CE installed a security camera in the area the hard drive was located, ceased storing back-up transport voice recordings on a mobile device, encrypted all mobile devices, and  retrained staff.  OCR obtained documentation that the CE implemented the compliance actions listed.
Location of breached information: Other Portable Electronic Device
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,40.760537,-73.97889
9-Oct-15,The Johns Hopkins Hospital,,Maryland,PHYS,MED,571,"On October 10, 2015, the covered entity (CE), Johns Hopkins Hospital, reported that a physician’s unencrypted laptop computer storing the electronic protected health information (ePHI) of 571 individuals was stolen at an international airport with all of her belongings. The types of ePHI contained in the laptop included physicians' names, patients' names, medical record numbers, and clinical information.  The CE provided breach notification to HHS, the media, affected individuals, and offered credit monitoring.  The CE sanctioned the physician involved in accordance with the CE's HIPAA sanctions policy. The CE also circulated a broadcast reminder to its workforce members of their existing policy requiring all devices that contain or may contain PHI to be encrypted and password protected.  OCR obtained assurances that any of the CE's portable devices that stores ePHI is required to use the CE's encryption program. Additionally, the CE submitted a copy of its most recent risk analysis and risk management program to OCR. They also provided OCR with information related to their new encryption program that would inform a user when he or she is  out of compliance and send them to a website that would refer them to local IT administration. OCR obtained assurances that the CE implemented the corrective actions listed.
Location of breached information: Laptop
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,39.045755,-76.641271
9-Oct-15,SSM Health Cancer Care,,Missouri,DISC,MED,643,"The covered entity (CE), SSM Health Cancer Care, erroneously mailed letters to the addresses of other patients due to using an inaccurate electronic file.  The breach affected 670 individuals and included individuals’ names and their inferred treatment relationship.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE performed a root cause analysis to identify risk areas and opportunities to strengthen controls and also retrained the individual who had erroneously sent out the mailings. The CE also created a new policy and procedures for patient mailings. OCR obtained documentation evidencing that the CE implemented the corrective actions listed.
Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,37.964253,-91.831833
19-Oct-15, Woodhull Medical and Mental Health Center ,,New York,PHYS,MED,"1,581","Location of breached information: Laptop
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,40.760537,-73.97889
4-Dec-15,Middlesex Hospital,,Connecticut,HACK,MED,946,"Location of breached information: Email
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,40.760537,-73.97889
30-Dec-15,St. Luke's Cornwall Hospital,,New York,PHYS,MED,"29,156","Location of breached information: Other Portable Electronic Device
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2015,40.760537,-73.97889
29-Jan-16,Crown Point Health Center,,Indiana,PHYS,MED,"1,854","Patients’ empty paper file folders with protected health information (PHI) appearing on the front cover were improperly disposed of when an employee put them in the regular trash.  The PHI on the cover included patients' dates of birth, medical record numbers, and guarantors' names.  Approximately 1,854 individuals were affected by this breach.  The covered entity (CE) provided breach notification to HHS, affected individuals and the media. The notification letter informed the individuals that a hotline had been established to address their questions and provided the hotline phone number. To prevent a similar breach from happening in the future, the CE sanctioned the involved employee and counseled the remaining staff regarding this matter.  OCR obtained assurances that the CE implemented the corrective actions listed above.
Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
5-Feb-16,Borgess Medical Center d/b/a Borgess Rheumatology,,Michigan,DISC,MED,700,"On April 13, 2015, the covered entity (CE), Borgess Medical Center-Borgess Rheumatology, impermissibly disclosed protected health information (PHI) due to an erroneous use of “mail merge,” which mixed up 700 patients’ names and addresses.  The PHI involved in the breach included patients’ names, medications, and their association with Borgess Rheumatology as patients.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE implemented a new process that included verification of the data files used for mail merges, including a Privacy Officer review.  It also trained workforce members and added an informal quality check of spreadsheets involving patient information.  OCR obtained documented assurances that the CE implemented the corrective actions noted above.
Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
26-Feb-16,Freeport Memorial Hospital,,Illinois,PHYS,MED,"1,349","Location of breached information: Other
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
10-Mar-16,UHHS Geauga Medical Center,,Ohio,DISC,MED,677,"Location of breached information: Electronic Medical Record
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
18-Mar-16,Val Verde Regional Medical Center,,Texas,HACK,MED,"2,000","On or about December 18, 2015, the covered entity (CE), Val Verde Regional Medical Center, determined that a member of its medical staff had impermissibly used protected health information (PHI) and sent unsecured emails containing PHI to two unapproved, personal email addresses. The emailed PHI included patients' names, genders, medical record numbers, dates of birth, modalities, study dates, ages, telephone numbers and/or account numbers, affecting 2,412 individuals. the CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE revised policies and procedures and retrained staff.  The CE conducted a new risk analysis and took actions to mitigate identified risks. During the investigation, OCR provided technical assistance regarding multiple standards of the HIPAA Rules.
Location of breached information: Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
21-Mar-16,Bozeman Health Deaconess Hospital,,Montana,DISC,MED,"1,124","Due to a misaligned spreadsheet, on or about February 19, 2016, Executive Services, a business associate (BA) of the covered entity (CE), Bozeman Health Deaconess Hospital, erroneously sent letters to 1,124 patients containing the another patient’s name.  The type of protected health information (PHI) involved in the breach included names.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE implemented a new process for sending mass mailings, required the responsible employee, as well as managers and supervisors, to attend HIPAA refresher training, and required the responsible employee to take a class on specific spreadsheet software. OCR obtained assurances that the CE implemented the corrective actions noted above.
Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
24-Mar-16,"Morton Medical Center, PLLC",,Washington,HACK,MED,"3,000","In March 2016, the covered entity (CE), Morton Medical Center, reported that a virus encrypted many of its merge documents and held them for ransom, preventing the CE from printing any documents that required merging data. An internal investigation revealed that the ransomware had been introduced into its systems through an “add-on” through the Internet. After paying the ransom, the hacker(s) released the CE's entire electronic protected health information (ePHI). The breach affected the ePHI of approximately 3,000 individuals; however, there were no indications that ePHI was actually uploaded or accessed.   If the hackers accessed the ePHI, it would have contained names, addresses, demographic information and, possibly, some diagnostic information. Following the breach, the CE conducted an enterprise-wide analysis of the various risks to its ePHI and developed a risk management plan. The CE then overhauled its entire information technology system, focusing on strengthening its physical, administrative, and technical safeguards. The CE also re-trained its workforce members and implemented a new policy that prohibits Internet access for other than business reasons.   OCR provided technical assistance regarding the requirements of the Breach Notification Rule.  
Location of breached information: Desktop Computer, Network Server
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
25-Mar-16,Mercy Iowa City,,Iowa,HACK,MED,"15,625","Location of breached information: Desktop Computer, Email, Network Server
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
7-Apr-16,RMA Medical Centers of Florida,,Florida,PHYS,MED,"3,906","RMA Medical Centers of Florida, the covered entity (CE), discovered that on February 6, 2016, a password protected company laptop computer was stolen from an employee’s hotel room.  The laptop was not encrypted.  It contained 3,906 individuals’ protected health information (PHI) and included patients’ names, dates of birth, health plan identification numbers, diagnoses, and primary care physicians’ names.  The CE provided breach notification to HHS, affected individuals, and the media and posted substitute notice on its website.  It also offered complimentary one-year identity theft protection to affected individuals.  Following the breach, the CE encrypted all laptops containing PHI and revised certain HIPAA policies to improve safeguards.  The CE educated and retrained its employees on its policies.  Finally, the CE sanctioned the employee responsible for the breach.  OCR obtained assurances that the CE implemented the corrective actions listed above.
Location of breached information: Laptop
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
20-Apr-16,Wyoming Medical Center,,Wyoming,HACK,MED,"3,184","Location of breached information: Email
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
25-Apr-16,Children's National Medical Center,,District Of Columbia,DISC,MED,"4,107","A former business associate (BA) of the covered entity (CE), Children’s Medical Center, Ascend Health System, misconfigured a File Transfer Protocol site (FTP), which may have allowed access from the internet to transcription documents from a number of healthcare entities, including the CE. The  breach was discovered in December 2015; however, the CE had ceased doing business with the BA on June 23, 2014. The transcriptions may have contained protected health information including children's names, dates of birth, medications, and attending physicians' names. The CE provided breach notification to HHS, affected individuals, and the media.  OCR obtained copies of the notification letters and BA agreement, as well as assurances that the CE implemented the corrective actions listed above. 
Location of breached information: Network Server
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,38.907192,-77.036871
4-May-16,"Florida Medical Clinic, PA",,Florida,DISC,MED,"1,000","Location of breached information: Electronic Medical Record
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
31-May-16,Washington DC VA Medical Center,,District Of Columbia,PHYS,MED,"1,062","On March 31, 2016, the covered entity's (CE) Lead Narcotic Inspector discovered that the monthly narcotic reports were missing.  On April 6, 2016, CE's police notified the facility Privacy Officer of the incident and reported the incident to the VA Network and Security Operations Center. The CE provided breach notification to HHS, the media, and affected individuals and offered credit monitoring.  The CE's Police Security Service reviewed the available closed circuit television footage and could not determine who removed the documents from the location.  The CE transferred the duties of the Lead Narcotic Inspector to another employee.  OCR obtained assurances that the CE implemented the corrective actions listed.
Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
10-Jun-16,Saints Mary and Elizabeth Hospital,,Kentucky,DISC,MED,"1,682","An employee of the covered entity (CE), Saints Mary and Elizabeth Hospital, sent an email reminder to potential participants of the hospital’s bariatric patient support group and inadvertently attached a spreadsheet of patients’ names associated with bariatric-related surgery.  The spreadsheet contained the names, surgery dates, addresses, emails, and phone numbers of 1,682 individuals. The CE unsuccessfully tried to recall the message. The CE’s internal investigation determined that the involved employee failed to utilize the auto-encryption feature for email containing protected health information (PHI).  The CE provided breach notification to HHS, affected individuals, and the media and posted substitute notices on its website.  Following the breach, the CE retrained its employees on email policies and procedures and best practices for securing PHI sent through email.  The CE sanctioned the involved employee and ceased using email to send reminders about support group activities.  OCR obtained assurances that the CE implemented the corrective actions listed above.
Location of breached information: Email
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
29-Jun-16,Massachusetts General Hospital ,,Massachusetts,HACK,MED,"4,293","Location of breached information: Network Server
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,42.407211,-71.382437
29-Jun-16,Mercy Medical Center Redding,,California,DISC,MED,520,"An employee of a business associate (BA), naviHealth, provided services to the covered entity’s (CE) patients using an assumed name and nursing license from June 1, 2015, to May 13, 2016, and accessed protected health information (PHI) in the course of employment.  The breach affected 520 individuals who were patients of the CE's Redding facility and a total of 1,253 Dignity Health patients in California and Nevada.  The types of PHI involved in the breach included full names, addresses, dates of birth, social security numbers, claims information, diagnoses/conditions, lab results, and medications.  The CE provided breach notification to HHS, affected individuals, and the media and also provided substitute notice.  OCR reviewed the BA agreement in place between the CE and BA and obtained assurances that the CE implemented the corrective actions listed above.  In response to the breach, the BA sanctioned the responsible employee, terminated the employee’s access to all PHI, and contacted law enforcement to report the incident.  The BA also reviewed recorded calls made by the employee and PHI accessed by the employee to ensure that PHI was accessed to provide patients with services according to the job function.  In addition, the BA improved administrative safeguards by revising its workforce clearance policies and procedures.  
Location of breached information: Other
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
19-Aug-16,Orleans Medical Clinic,,Indiana,HACK,MED,"6,890","Location of breached information: Network Server
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
19-Aug-16,The Outer Banks Hospital,,North Carolina,PHYS,MED,"1,000","The covered entity (CE), Outer Banks Hospital, lost two unencrypted portable computer drives (""flash"" drives) containing the protected health information (PHI) of approximately 1,000 individuals during a move.  The types of PHI on the lost flash drives included names, addresses, birthdates, social security numbers, diagnoses/conditions, and other treatment information.  The CE provided breach notification to HHS, affected individuals, and the media.  In response to the breach, the CE retrained its workforce with respect to appropriate portable devices and media storage.  Additionally, the CE initiated the deployment of new technology on all computer workstations to detect and prevent PHI from being downloaded to portable storage media devices.  The CE also began using auto-encryption technology rather than relying on user actions to encrypt data and implemented related procedures.  Further, the CE  drafted a new procedure for physical practice acquisitions which includes a more thorough risk assessment of privacy and security components.  OCR obtained assurances that the CE implemented the corrective actions listed above.  
Location of breached information: Other Portable Electronic Device
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
9-Sep-16,Martin Army Community Hospital,,Georgia,PHYS,MED,"1,000","In December 2013 The IRS notified the covered entity (CE), Martin Army Community Hospital,that one of its employees was involved in identity theft activities.  This review was consolidated with another review of this CE.    
Location of breached information: Paper/Films
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
9-Sep-16,Asante,,Oregon,DISC,MED,"2,400","Location of breached information: Electronic Medical Record
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
12-Sep-16,Codman Square Health Center ,,Massachusetts,DISC,MED,"3,840","A workforce member provided an unauthorized individual with the workforce member’s credentials so as to allow the individual access to the New England Health Exchange Network (NEHEN) via computer. The unauthorized individual was thus able to access the protected health information (PHI) of 102 patients of the covered entity (CE), Codman Square Health Center.  The types of PHI involved in the breach included patients’ names, addresses, birthdates, medical insurance information, and for patients receiving Medicaid, social security numbers.  The CE provided breach notification to the affected individuals, the media and HHS.  The CE also provided individuals fraud resolution and credit monitoring services at no cost.  Following discovery of the breach, the CE sanctioned the involved employees and re-trained all employees. As a result of OCR’s investigation, the CE revised its Breach Notification policy and implemented related procedures. 
Location of breached information: Desktop Computer
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,42.407211,-71.382437
16-Sep-16,CHI Franciscan Health St. Clare Hospital and St. Joseph Medical Center,,Washington,DISC,MED,"2,818","Location of breached information: Electronic Medical Record
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
21-Sep-16,USC Keck and Norris Hospitals,,California,HACK,MED,"16,000","Location of breached information: Network Server
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
23-Sep-16,Jennie Stuart Medical Center,,Kentucky,HACK,MED,"1,500","Hackers placed ransomware on the covered entity's (CE) computer server.  The servers stored protected health information (PH)I—addresses, dates of birth, driver’s license data, names, social security numbers, claims information, credit card and bank account information, medical diagnoses, lab results, medications, and other treatment information—for approximately 1,500 individuals.  The data on the servers was encrypted and the hackers placed encryption on top of the CE’s encryption, preventing access by the CE.  The hackers demanded a ransom, which the CE paid.  After payment of the ransom, the CE re-gained access to the data on the server.  The CE hired a third party to perform a forensic investigation, and the CE provided a complete copy of the investigative report to OCR.  The CE also provided OCR with a detailed analysis of its risk assessment and its determination that the probability that data was compromised was very low. Out of an abundance of caution, the CE expanded its data security monitoring, updated its security management policies, and provided additional training to staff.  OCR obtained assurances that the CE implemented the actions listed above.
Location of breached information: Network Server
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
5-Oct-16,Baxter Regional Medical Center - Home Health Facility,,Arkansas,DISC,MED,"2,124","On August 5, 2016, intruders broke into the covered entity (CE), Baxter Regional Medical Center, potentially breaching the protected health information (PHI) of approximately 2,124 individuals.  The intruders broke into locked offices which contained PHI in paper-based patient files although nothing appeared to be missing. Following the breach, the CE improved physical security. Additionally, it moved all non-current patient records to a secure, off-site storage facility and trained employees on its HIPAA practices. The CE provided breach notification to HHS, affected individuals, and the media. During OCR’s investigation, OCR reviewed the notification to HHS and provided technical assistance regarding the Breach Notification Rule.
Location of breached information: Other
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
13-Oct-16,Mercy Hospital and Medical Center,,Illinois,PHYS,MED,547,"Location of breached information: Paper/Films
Business associate present: Yes
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
14-Oct-16,Integrity Transitional Hospital,,Texas,HACK,MED,"29,514","Location of breached information: Network Server
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,31.968599,-99.901813
23-Nov-16,Berkshire Medical Center,,Massachusetts,DISC,MED,"1,745","A former employee of a business associate (BA), Ambucor Health Solutions, stole the protected health information (PHI) of the covered entity's (CE) patients that was contained in a mobile computer drive. The types of PHI involved in the breach included clinical and demographic information such as patients' names, dates of birth, diagnoses, and treatment, and affected1,745 individuals. OCR reviewed the CE's BA agreement and determined that it is compliance with the Privacy Rule.  OCR obtained assurances that individuals affected by this breach were notified in accordance with the Breach Notification Rule.  
Location of breached information: Email, Other Portable Electronic Device
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
23-Nov-16,Akron General Medical Center,,Ohio,DISC,MED,730,"The business associate (BA), Ambucor Health Solutions, filed a separate breach report for an incident also reported by this covered entity, (CE), Akron General Medical Center.  OCR obtained a copy of the BA agreement between this CE and BA and a copy of the breach notification letter sent to the affected individuals.  This case has been consolidated into the other review of the BA.
Location of breached information: Other Portable Electronic Device
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
28-Nov-16,Glendale Adventist Medical Center,,California,DISC,MED,528,"Location of breached information: Electronic Medical Record
Business associate present: No
",US Department of Health and Human Services,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,2016,40.760537,-73.97889
